,Gene.ID,log2FoldChange,padj,Condition,Gene.Name,gbkey,locus_tag,old_locus_tag,Biotype
1,SO_RS01655,1.552215981,7.91E-29,LB_1_logFC,SO_RS01655,Gene,SO_RS01655,SO_0346,protein_coding
2,SO_RS12865,0.763161282,1.39E-25,LB_1_logFC,SO_RS12865,Gene,SO_RS12865,SO_2778,protein_coding
3,SO_RS16030,0.551274451,3.00E-25,LB_1_logFC,recA,Gene,SO_RS16030,SO_3430,protein_coding
4,SO_RS21385,0.858188733,1.09E-23,LB_1_logFC,lexA,Gene,SO_RS21385,SO_4603,protein_coding
5,SO_RS21390,1.026349171,2.08E-21,LB_1_logFC,sulA,Gene,SO_RS21390,SO_4604,protein_coding
6,SO_RS16185,0.834261749,5.20E-20,LB_1_logFC,recN,Gene,SO_RS16185,SO_3462,protein_coding
7,SO_RS13890,2.089813289,5.22E-13,LB_1_logFC,Lambda_53,Gene,SO_RS13890,SO_4793,protein_coding
8,SO_RS14200,0.835737765,1.37E-12,LB_1_logFC,SO_RS14200,Gene,SO_RS14200,SO_3061,protein_coding
9,SO_RS01650,1.426019094,1.72E-11,LB_1_logFC,prpB,Gene,SO_RS01650,SO_0345,protein_coding
10,SO_RS22050,0.715277177,3.63E-10,LB_1_logFC,glmS,Gene,SO_RS22050,SO_4741,protein_coding
11,SO_RS22860,-0.401642746,1.89E-09,LB_1_logFC,SO_RS22860,Gene,SO_RS22860,SO_A0157,protein_coding
12,SO_RS15860,0.504104995,9.51E-09,LB_1_logFC,SO_RS15860,Gene,SO_RS15860,SO_3401,protein_coding
13,SO_RS05790,0.87554314,1.03E-08,LB_1_logFC,SO_RS05790,Gene,SO_RS05790,SO_1245,protein_coding
14,SO_RS00020,0.701572734,2.51E-08,LB_1_logFC,yidC,Gene,SO_RS00020,SO_0004,protein_coding
15,SO_RS14255,0.422650862,3.42E-08,LB_1_logFC,fabB,Gene,SO_RS14255,SO_3072,protein_coding
16,SO_RS12845,0.479558037,5.39E-08,LB_1_logFC,fabF,Gene,SO_RS12845,SO_2774,protein_coding
17,SO_RS05160,0.689870591,7.09E-08,LB_1_logFC,dinB,Gene,SO_RS05160,SO_1114,protein_coding
18,SO_RS07210,0.451619336,7.09E-08,LB_1_logFC,rdgC,Gene,SO_RS07210,SO_1556,protein_coding
19,SO_RS12810,0.807229622,8.42E-08,LB_1_logFC,SO_RS12810,Gene,SO_RS12810,SO_2766,protein_coding
20,SO_RS13860,0.823163786,8.42E-08,LB_1_logFC,Lambda_48,Gene,SO_RS13860,SO_2987,protein_coding
21,SO_RSnc031,0.946429945,1.22E-07,LB_1_logFC,intergenic,,SO_RSnc031,,ncRNA
22,SO_RS14475,-0.449225089,2.31E-07,LB_1_logFC,SO_RS14475,Gene,SO_RS14475,SO_3119,protein_coding
23,SO_RS12860,0.909669467,6.83E-07,LB_1_logFC,fabD,Gene,SO_RS12860,SO_2777,protein_coding
24,SO_RS07795,0.895370457,1.08E-06,LB_1_logFC,SO_RS07795,Gene,SO_RS07795,SO_1690,protein_coding
25,SO_RS10960,0.537117285,1.36E-06,LB_1_logFC,pssA,Gene,SO_RS10960,SO_2390,protein_coding
26,SO_RS13895,0.819974801,1.36E-06,LB_1_logFC,Lambda_54,Gene,SO_RS13895,SO_2993,protein_coding
27,SO_RS14695,0.66302046,1.58E-06,LB_1_logFC,SO_RS14695,Gene,SO_RS14695,SO_3154,protein_coding
28,SO_RS19095,0.668945097,1.58E-06,LB_1_logFC,SO_RS19095,Gene,SO_RS19095,SO_4118,protein_coding
29,SO_RS08555,-0.236596228,2.07E-06,LB_1_logFC,SO_RS08555,Gene,SO_RS08555,SO_1857,protein_coding
30,SO_RS04890,0.241586449,2.10E-06,LB_1_logFC,SO_RS04890,Gene,SO_RS04890,SO_1051,protein_coding
31,SO_RS14715,0.442675811,2.10E-06,LB_1_logFC,SO_RS14715,Gene,SO_RS14715,SO_3158,protein_coding
32,SO_RS07705,0.486678183,2.14E-06,LB_1_logFC,SO_RS07705,Gene,SO_RS07705,SO_1670,protein_coding
33,SO_RS09435,-0.325416089,2.30E-06,LB_1_logFC,SO_RS09435,Gene,SO_RS09435,SO_2048,protein_coding
34,SO_RS06250,0.503430194,2.66E-06,LB_1_logFC,lepB,Gene,SO_RS06250,SO_1347,protein_coding
35,SO_RS04090,0.844928302,3.66E-06,LB_1_logFC,folK,Gene,SO_RS04090,SO_0871,protein_coding
36,SO_RS12160,0.32332105,6.16E-06,LB_1_logFC,SO_RS12160,Gene,SO_RS12160,SO_2638,protein_coding
37,SO_RS08175,-0.252280969,8.05E-06,LB_1_logFC,SO_RS08175,Gene,SO_RS08175,SO_1783,protein_coding
38,SO_RS20470,0.650041208,8.05E-06,LB_1_logFC,typA,Gene,SO_RS20470,SO_4408,protein_coding
39,SO_RS02065,0.276738703,8.47E-06,LB_1_logFC,SO_RS02065,Gene,SO_RS02065,SO_0429,protein_coding
40,SO_RS13340,-0.205288087,1.28E-05,LB_1_logFC,SO_RS13340,Gene,SO_RS13340,SO_2878,protein_coding
41,SO_RS08235,0.512846669,1.37E-05,LB_1_logFC,tig,Gene,SO_RS08235,SO_1793,protein_coding
42,SO_RS08550,0.368786306,1.39E-05,LB_1_logFC,fabA,Gene,SO_RS08550,SO_1856,protein_coding
43,SO_RS08260,0.309999485,1.85E-05,LB_1_logFC,ppiD,Gene,SO_RS08260,SO_1798,protein_coding
44,SO_RS05690,0.692361238,2.10E-05,LB_1_logFC,serB,Gene,SO_RS05690,SO_1223,protein_coding
45,SO_RS02040,0.54471161,2.62E-05,LB_1_logFC,aceE,Gene,SO_RS02040,SO_0424,protein_coding
46,SO_RS03675,0.325584566,2.67E-05,LB_1_logFC,gcvT,Gene,SO_RS03675,SO_0779,protein_coding
47,SO_RS14375,0.842172893,2.89E-05,LB_1_logFC,SO_RS14375,Gene,SO_RS14375,SO_3099,protein_coding
48,SO_RS04160,0.419560666,3.33E-05,LB_1_logFC,SO_RS04160,Gene,SO_RS04160,SO_0885,protein_coding
49,SO_RS03890,-0.319541148,3.47E-05,LB_1_logFC,SO_RS03890,Gene,SO_RS03890,SO_0827,protein_coding
50,SO_RS08270,0.307069316,3.50E-05,LB_1_logFC,SO_RS08270,Gene,SO_RS08270,SO_1800,protein_coding
51,SO_RS10195,0.58066007,3.50E-05,LB_1_logFC,asnS,Gene,SO_RS10195,SO_2218,protein_coding
52,SO_RS12605,0.319207633,4.38E-05,LB_1_logFC,SO_RS12605,Gene,SO_RS12605,SO_2731,protein_coding
53,SO_RS11810,0.31892868,4.86E-05,LB_1_logFC,SO_RS11810,Gene,SO_RS11810,SO_2564,protein_coding
54,SO_RS08050,0.359356537,5.89E-05,LB_1_logFC,SO_RS08050,Gene,SO_RS08050,SO_1756,protein_coding
55,SO_RS06245,0.366609674,6.56E-05,LB_1_logFC,lepA,Gene,SO_RS06245,SO_1346,protein_coding
56,SO_RS14080,0.491523409,6.56E-05,LB_1_logFC,xthA,Gene,SO_RS14080,SO_3037,protein_coding
57,SO_RS22200,0.652739589,7.44E-05,LB_1_logFC,umuC,Gene,SO_RS22200,SO_A0012,protein_coding
58,SO_RS10220,0.574413251,7.46E-05,LB_1_logFC,SO_RS10220,Gene,SO_RS10220,SO_2223,protein_coding
59,SO_RS05455,0.91978126,7.58E-05,LB_1_logFC,miaB,Gene,SO_RS05455,SO_1181,protein_coding
60,SO_RS13830,0.73370348,7.61E-05,LB_1_logFC,Lambda_42,Gene,SO_RS13830,SO_2981,protein_coding
61,SO_RS10680,0.480910522,8.41E-05,LB_1_logFC,earP,Gene,SO_RS10680,SO_2329,protein_coding
62,SO_RS12655,0.686368796,8.41E-05,LB_1_logFC,acs,Gene,SO_RS12655,SO_2743,protein_coding
63,SO_RS14640,0.560103639,8.56E-05,LB_1_logFC,SO_RS14640,Gene,SO_RS14640,SO_3142,protein_coding
64,SO_RS06015,-0.298022396,8.57E-05,LB_1_logFC,SO_RS06015,Gene,SO_RS06015,SO_1296,protein_coding
65,SO_RS13810,0.839435304,9.01E-05,LB_1_logFC,Lambda_38,Gene,SO_RS13810,SO_2977,protein_coding
66,SO_RS14480,0.52113346,9.12E-05,LB_1_logFC,SO_RS14480,Gene,SO_RS14480,SO_3120,protein_coding
67,SO_RS17905,0.599167257,0.00010613,LB_1_logFC,SO_RS17905,Gene,SO_RS17905,SO_3844,protein_coding
68,SO_RS13900,0.912393866,0.000107741,LB_1_logFC,Lambda_55,Gene,SO_RS13900,,protein_coding
69,SO_RS21695,-0.256643975,0.000114038,LB_1_logFC,SO_RS21695,Gene,SO_RS21695,SO_4667,protein_coding
70,SO_RS14160,-0.188193301,0.000119673,LB_1_logFC,SO_RS14160,Gene,SO_RS14160,SO_3052,protein_coding
71,SO_RS00070,0.741588651,0.000130547,LB_1_logFC,glyS,Gene,SO_RS00070,SO_0014,protein_coding
72,SO_RS08690,0.462870347,0.000130547,LB_1_logFC,bamC,Gene,SO_RS08690,SO_1880,protein_coding
73,SO_RS17280,0.475467819,0.000130547,LB_1_logFC,SO_RS17280,Gene,SO_RS17280,SO_3705,protein_coding
74,SO_RS04105,0.347937521,0.000131034,LB_1_logFC,dksA,Gene,SO_RS04105,SO_0874,protein_coding
75,SO_RS02830,-0.316983887,0.000133996,LB_1_logFC,SO_RS02830,Gene,SO_RS02830,SO_t012,tRNA
76,SO_RS08485,0.651491813,0.000133996,LB_1_logFC,SO_RS08485,Gene,SO_RS08485,SO_1846,protein_coding
77,SO_RS16480,-0.287470886,0.000142389,LB_1_logFC,SO_RS16480,Gene,SO_RS16480,SO_3526,protein_coding
78,SO_RS16235,0.319154332,0.000145384,LB_1_logFC,ettA,Gene,SO_RS16235,SO_3472,protein_coding
79,SO_RS13820,0.676383295,0.000151075,LB_1_logFC,Lambda_40,Gene,SO_RS13820,SO_2979,protein_coding
80,SO_RS05440,0.188812297,0.000179495,LB_1_logFC,corC,Gene,SO_RS05440,SO_1178,protein_coding
81,SO_RS13095,-0.317268434,0.000184179,LB_1_logFC,SO_RS13095,Gene,SO_RS13095,SO_2827,protein_coding
82,SO_RS10290,0.324977398,0.000196004,LB_1_logFC,SO_RS10290,Gene,SO_RS10290,SO_2240,protein_coding
83,SO_RS13990,-0.216119133,0.000196004,LB_1_logFC,SO_RS13990,Gene,SO_RS13990,SO_3016,protein_coding
84,SO_RS19870,-0.328829842,0.000205096,LB_1_logFC,SO_RS19870,Gene,SO_RS19870,SO_4286,protein_coding
85,SO_RS06130,0.539099757,0.000208239,LB_1_logFC,SO_RS06130,Gene,SO_RS06130,SO_1322,protein_coding
86,SO_RS08055,0.478188934,0.000212773,LB_1_logFC,SO_RS08055,Gene,SO_RS08055,SO_1757,protein_coding
87,SO_RS05645,0.441808715,0.000231785,LB_1_logFC,prfC,Gene,SO_RS05645,SO_1211,protein_coding
88,SO_RS21765,-0.249050559,0.000231785,LB_1_logFC,SO_RS21765,Gene,SO_RS21765,SO_4682,protein_coding
89,SO_RS11990,0.367413268,0.000238076,LB_1_logFC,SO_RS11990,Gene,SO_RS11990,SO_2603,protein_coding
