Gene.ID,Name,Class,Cluster
SO_4604,sulA,DNA Damage,
SO_0393,fis,DNA Damage,
SO_0690,SO_0690,DNA Damage,
SO_1114,dinP,DNA Damage,
SO_1758,yafY,DNA Damage,
SO_1819,dinG,DNA Damage,
SO_1820,polB,DNA Damage,
SO_3061,topB,DNA Damage,
SO_3430,recA,DNA Damage,
SO_3462,recN,DNA Damage,
SO_3917,dnaB,DNA Damage,
SO_4364,recG,DNA Damage,
SO_4603,lexA,DNA Damage,
SO_4669,polA,DNA Damage,
SO_A0012,umuC,DNA Damage,
SO_A0013,umuD,DNA Damage,
SO_0958,ahpC,ROS Stress,
SO_3577,clpB,ROS Stress,
SO_4162,hslV,ROS Stress,
SO_4163,hslU,ROS Stress,
SO_4697,gst,ROS Stress,
SO_0452,trxC,ROS Stress,
SO_0760,amt,ROS Stress,
SO_1070,katB,ROS Stress,
SO_1145,mgtE-1,ROS Stress,
SO_1563,SO_1564,ROS Stress,
SO_1158,SO_1158,ROS Stress,
SO_0956,alpF,ROS Stress,
SO_2178,ccpA,ROS Stress,
SO_1158,dps,ROS Stress,
SO_0976,ohr,ROS Stress,
SO_4423,SO_4423,ROS Stress,
SO_1807,pspA,ROS Stress,
SO_3349,SO_3349,ROS Stress,
SO_3790,sufE,ROS Stress,
SO_3792,sufC,ROS Stress,
SO_1937,fur,ROS Stress,
SO_2881,sodB,ROS Stress,
SO_0639,attL,Mu0,
SO_0640,,Mu1,
SO_0641,,Mu1,
SO_4769,,Mu1,
SO_0643,,Mu1,
SO_0644,,Mu1,
SO_0645,,Mu1,
SO_0646,,Mu1,
SO_0647,,Mu1,
SO_0648,,Mu1,
SO_0649,,Mu1,
SO_0650,,Mu1,
SO_0651,,Mu1,
SO_0652,,Mu1,
SO_0653,,Mu1,
SO_0654,,Mu1,
SO_0655,,Mu1,
SO_0656,,Mu1,
SO_0658,,Mu1,
SO_0659,,Mu1,
SO_0660,,Mu1,
SO_0661,,Mu1,
SO_0662,,Mu1,
SO_0663,,Mu1,
SO_0664,,Mu1,
SO_0665,,Mu1,
SO_0666,,Mu1,
SO_0667,,Mu1,
SO_0668,,Mu1,
SO_4832,,Mu1,
SO_0669,,Mu1,
SO_0670,,Mu1,
SO_0671,,Mu1,
SO_0672,,Mu1,
SO_0673,,Mu1,
SO_0674,,Mu1,
SO_0675,,Mu1,
SO_0676,,Mu1,
SO_0677,,Mu1,
SO_0678,,Mu1,
SO_0679,,Mu1,
SO_0680,,Mu1,
SO_0681,,Mu1,
SO_0682,,Mu1,
SO_0685,,Mu1,
SO_0687,,Mu1,
SO_0688,,Mu1,
SO_0689,,Mu1,
SO_0690,,Mu1,
SO_0691,,Mu1,
SO_2652,,Mu2,
SO_2653,,Mu2,
SO_2654,,Mu2,
SO_2655,,Mu2,
SO_2656,,Mu2,
SO_2657,,Mu2,
SO_2658,,Mu2,
SO_2659,,Mu2,
SO_2660,,Mu2,
SO_4787,,Mu2,
SO_2661,,Mu2,
SO_4788,,Mu2,
SO_2663,,Mu2,
SO_2664,,Mu2,
SO_2665,,Mu2,
SO_2666,,Mu2,
SO_2667,,Mu2,
SO_4789,,Mu2,
SO_2668,,Mu2,
SO_2669,,Mu2,
SO_2670,,Mu2,
SO_2671,,Mu2,
SO_2672,,Mu2,
SO_2673,,Mu2,
SO_2674,,Mu2,
SO_2675,,Mu2,
SO_2676,,Mu2,
SO_2677,,Mu2,
SO_2678,,Mu2,
SO_2679,,Mu2,
SO_2680,,Mu2,
SO_2681,,Mu2,
SO_2682,,Mu2,
SO_2683,,Mu2,
SO_2684,,Mu2,
SO_2685,,Mu2,
SO_2686,,Mu2,
SO_2687,,Mu2,
SO_2688,,Mu2,
SO_2689,,Mu2,
SO_2690,,Mu2,
SO_2691,,Mu2,
SO_2692,,Mu2,
SO_2693,,Mu2,
SO_2694,,Mu2,
SO_2695,,Mu2,
SO_2697,,Mu2,
SO_2698,,Mu2,
SO_2699,,Mu2,
SO_2700,,Mu2,
SO_2701,,Mu2,
SO_2702,,Mu2,
SO_2703,,Mu2,
SO_2704,,Mu2,
SO_2705,,Mu2,
SO_2706,,Mu2,
SO_2707,,Mu2,
SO_2708,,Mu2,
