,Gene.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Condition,Chrom.ID,Source,Entry.Class,Start,Stop,B1,Strand,B2,Gene.Name,gbkey,Biotype,locus_tag,old_locus_tag,X,X.1,X.2
1,SO_RS01655,33.30344162,1.552215981,0.130895779,11.85841124,1.95E-32,7.91E-29,LB_1_logFC,NC_004347.2,RefSeq,gene,352532,353296,.,-,.,SO_RS01655,Gene,protein_coding,SO_RS01655,SO_0346,,,
2,SO_RS12865,272.1890589,0.763161282,0.068419354,11.15417263,6.83E-29,1.39E-25,LB_1_logFC,NC_004347.2,RefSeq,gene,2899966,2900925,.,-,.,SO_RS12865,Gene,protein_coding,SO_RS12865,SO_2778,,,
3,SO_RS16030,1503.170719,0.551274451,0.049892859,11.04916542,2.21E-28,3.00E-25,LB_1_logFC,NC_004347.2,RefSeq,gene,3573159,3574232,.,-,.,recA,Gene,protein_coding,SO_RS16030,SO_3430,,,
4,SO_RS21385,428.9367881,0.858188733,0.080241528,10.69506972,1.07E-26,1.09E-23,LB_1_logFC,NC_004347.2,RefSeq,gene,4799189,4799809,.,+,.,lexA,Gene,protein_coding,SO_RS21385,SO_4603,,,
5,SO_RS21390,566.299793,1.026349171,0.100868104,10.17516076,2.56E-24,2.08E-21,LB_1_logFC,NC_004347.2,RefSeq,gene,4799806,4800318,.,+,.,sulA,Gene,protein_coding,SO_RS21390,SO_4604,,,
6,SO_RS16185,1386.724454,0.834261749,0.084794808,9.838594732,7.68E-23,5.20E-20,LB_1_logFC,NC_004347.2,RefSeq,gene,3607986,3609644,.,+,.,recN,Gene,protein_coding,SO_RS16185,SO_3462,,,
7,SO_RS13890,702.5429453,2.089813289,0.259932246,8.039838526,9.00E-16,5.22E-13,LB_1_logFC,NC_004347.2,RefSeq,gene,3115885,3116073,.,+,.,Lambda_53,Gene,protein_coding,SO_RS13890,SO_4793,,,
8,SO_RS14200,263.464053,0.835737765,0.105728481,7.904566117,2.69E-15,1.37E-12,LB_1_logFC,NC_004347.2,RefSeq,gene,3175744,3177852,.,-,.,SO_RS14200,Gene,protein_coding,SO_RS14200,SO_3061,,,
9,SO_RS01650,106.5352539,1.426019094,0.188453755,7.566944448,3.82E-14,1.72E-11,LB_1_logFC,NC_004347.2,RefSeq,gene,351590,352468,.,-,.,prpB,Gene,protein_coding,SO_RS01650,SO_0345,,,
10,SO_RS22050,255.3432919,0.715277177,0.100094499,7.146018841,8.93E-13,3.63E-10,LB_1_logFC,NC_004347.2,RefSeq,gene,4951376,4953205,.,-,.,glmS,Gene,protein_coding,SO_RS22050,SO_4741,,,
11,SO_RS22860,988.1916417,-0.401642746,0.058187359,-6.902577363,5.11E-12,1.89E-09,LB_1_logFC,NC_004349.1,RefSeq,gene,146282,146737,.,-,.,SO_RS22860,Gene,protein_coding,SO_RS22860,SO_A0157,,,
12,SO_RS15860,214.8460845,0.504104995,0.075733958,6.6562611,2.81E-11,9.51E-09,LB_1_logFC,NC_004347.2,RefSeq,gene,3540446,3541168,.,+,.,SO_RS15860,Gene,protein_coding,SO_RS15860,SO_3401,,,
13,SO_RS05790,173.9332742,0.87554314,0.132007896,6.632505804,3.30E-11,1.03E-08,LB_1_logFC,NC_004347.2,RefSeq,gene,1295932,1297290,.,-,.,SO_RS05790,Gene,protein_coding,SO_RS05790,SO_1245,,,
14,SO_RS00020,916.5975202,0.701572734,0.108120095,6.488828297,8.65E-11,2.51E-08,LB_1_logFC,NC_004347.2,RefSeq,gene,4058,5683,.,-,.,yidC,Gene,protein_coding,SO_RS00020,SO_0004,,,
15,SO_RS14255,1393.932839,0.422650862,0.065715227,6.431551437,1.26E-10,3.42E-08,LB_1_logFC,NC_004347.2,RefSeq,gene,3191408,3192619,.,-,.,fabB,Gene,protein_coding,SO_RS14255,SO_3072,,,
16,SO_RS12845,182.4116555,0.479558037,0.075494317,6.352240214,2.12E-10,5.39E-08,LB_1_logFC,NC_004347.2,RefSeq,gene,2896334,2897572,.,-,.,fabF,Gene,protein_coding,SO_RS12845,SO_2774,,,
17,SO_RS05160,256.1555309,0.689870591,0.109636581,6.292339501,3.13E-10,7.09E-08,LB_1_logFC,NC_004347.2,RefSeq,gene,1157158,1158231,.,+,.,dinB,Gene,protein_coding,SO_RS05160,SO_1114,,,
18,SO_RS07210,201.9181422,0.451619336,0.071780835,6.291642272,3.14E-10,7.09E-08,LB_1_logFC,NC_004347.2,RefSeq,gene,1632127,1633041,.,-,.,rdgC,Gene,protein_coding,SO_RS07210,SO_1556,,,
19,SO_RS12810,54.19420098,0.807229622,0.129187798,6.248497437,4.14E-10,8.42E-08,LB_1_logFC,NC_004347.2,RefSeq,gene,2887176,2888849,.,+,.,SO_RS12810,Gene,protein_coding,SO_RS12810,SO_2766,,,
20,SO_RS13860,134.2799916,0.823163786,0.131625404,6.253836743,4.00E-10,8.42E-08,LB_1_logFC,NC_004347.2,RefSeq,gene,3112584,3112778,.,-,.,Lambda_48,Gene,protein_coding,SO_RS13860,SO_2987,,,
21,SO_RSnc031,351.437046,0.946429945,0.153077668,6.182678095,6.30E-10,1.22E-07,LB_1_logFC,NC_004347.2,texseq,gene,3115433,3115678,.,+,.,intergenic,,ncRNA,SO_RSnc031,,,,
22,SO_RS14475,425.274969,-0.449225089,0.073962512,-6.073686206,1.25E-09,2.31E-07,LB_1_logFC,NC_004347.2,RefSeq,gene,3246624,3247058,.,-,.,SO_RS14475,Gene,protein_coding,SO_RS14475,SO_3119,,,
23,SO_RS12860,256.1244957,0.909669467,0.154448543,5.889789909,3.87E-09,6.83E-07,LB_1_logFC,NC_004347.2,RefSeq,gene,2898935,2899861,.,-,.,fabD,Gene,protein_coding,SO_RS12860,SO_2777,,,
24,SO_RS07795,274.3817409,0.895370457,0.154213499,5.806044609,6.40E-09,1.08E-06,LB_1_logFC,NC_004347.2,RefSeq,gene,1777152,1778744,.,+,.,SO_RS07795,Gene,protein_coding,SO_RS07795,SO_1690,,,
25,SO_RS10960,302.7785132,0.537117285,0.093295503,5.757161597,8.55E-09,1.36E-06,LB_1_logFC,NC_004347.2,RefSeq,gene,2493875,2495188,.,-,.,pssA,Gene,protein_coding,SO_RS10960,SO_2390,,,
26,SO_RS13895,970.7886589,0.819974801,0.142507175,5.753919406,8.72E-09,1.36E-06,LB_1_logFC,NC_004347.2,RefSeq,gene,3116135,3116878,.,+,.,Lambda_54,Gene,protein_coding,SO_RS13895,SO_2993,,,
27,SO_RS14695,347.3094538,0.66302046,0.1159525,5.718035068,1.08E-08,1.58E-06,LB_1_logFC,NC_004347.2,RefSeq,gene,3289875,3291587,.,+,.,SO_RS14695,Gene,protein_coding,SO_RS14695,SO_3154,,,
28,SO_RS19095,217.3179552,0.668945097,0.117016344,5.716680876,1.09E-08,1.58E-06,LB_1_logFC,NC_004347.2,RefSeq,gene,4277313,4278557,.,-,.,SO_RS19095,Gene,protein_coding,SO_RS19095,SO_4118,,,
29,SO_RS08555,346.2197603,-0.236596228,0.041769034,-5.664393039,1.48E-08,2.07E-06,LB_1_logFC,NC_004347.2,RefSeq,gene,1948089,1949822,.,-,.,SO_RS08555,Gene,protein_coding,SO_RS08555,SO_1857,,,
30,SO_RS04890,722.675434,0.241586449,0.042729782,5.653818862,1.57E-08,2.10E-06,LB_1_logFC,NC_004347.2,RefSeq,gene,1087788,1089464,.,+,.,SO_RS04890,Gene,protein_coding,SO_RS04890,SO_1051,,,
